N°;Referencia;Provincia;Distrito;Giro del inmueble;Tipo de calle/vía;Nombre de calle/vía;AASS
207;KFC191 MALL AVENTURA SJL FC;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;LURIGANCHO;Yeisll Diaz
208;KFC193 MALL AVENTURA SJL IL;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;LURIGANCHO;Yeisll Diaz
209;KFC176 MALL PLAZA COMAS;LIMA;COMAS;RESTAURANTE\RESTAURANTE;Avenida;LOS ANGELES;Paola Mija
210;KFC 192 IQUITOS;MAYNAS;IQUITOS;RESTAURANTE\RESTAURANTE;Avenida;CAPITAN JOSE ABELADO QUIÑONES ;Sheyda Florindez
211;KFC166 AVENIDA PERU;LIMA;SAN MARTIN DE PORRES;RESTAURANTE\RESTAURANTE;Avenida;PERU ;Paola Mija
213;SBUX 1 OVALO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;ANDRES SANTA CRUZ;Gabriela Varias
214;SBUX 2 JOCKEY;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE;Gabriela Varias
215;SBUX 3 EL POLO;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;EL POLO ;Gabriela Varias
216;SBUX 4  COUNTRY;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Calle;LOS EUCALIPTOS ;Gabriela Varias
217;SBUX 5  MOLINA PLAZA;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;RAUL FERRERO REBAGLIATI;Gabriela Varias
218;SBUX 6 BEGONIAS;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;LAS BEGONIAS ;Gabriela Varias
219;SBUX 7  LARCO MAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;MALECON DE LA RESERVA ;Gabriela Varias
220;SBUX 9 BENAVIDES - SURCO;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;BENAVIDES ALFREDO ;Gabriela Varias
221;SBUX 10, CONQUISTADORES;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;LOS CONQUISTADORES;Gabriela Varias
222;SBUX 11 PARQUE SUR;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;DEL PARQUE SUR;Gabriela Varias
223;SBUX 12 BENAVIDES -  TAIPEI;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES;Gabriela Varias
224;SBUX 13 CHACARILLA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Jiron;MONTERREY ;Gabriela Varias
225;SBUX 14 MORELLI;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Calle;MORELLI;Gabriela Varias
226;SBUX 15 DIAGONAL;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;MARISCAL OSCAR;Gabriela Varias
227;SBUX 16 MONITOR;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO;Gabriela Varias
